team,group,confederation,is_host,date,elo,points_avg,goal_diff_avg,goals_for_avg,goals_against_avg,adjusted_points_avg,adjusted_goal_diff_avg,performance_vs_expected_avg,matches_played
Mexico,A,CONCACAF,True,2026-03-31,1902.4996647990376,1.4,0.1,1.1,1.0,1.6689942487930616,0.0339831872089917,-0.08713339155673408,10.0
South Africa,A,CAF,False,2026-03-31,1644.8146470923623,1.5,0.4,1.5,1.1,1.5311674710009684,0.34957873454712507,-0.09198360309500975,10.0
South Korea,A,AFC,False,2026-03-31,1856.0807732415328,1.9,0.3,1.5,1.2,2.1575339110277247,0.4740073159020314,-0.004140396238553679,10.0
Czech Republic,A,UEFA,False,2026-03-31,1753.5060063025749,1.6,0.6,1.8,1.2,1.5292172225754244,0.2324027703250406,-0.1390529135878581,10.0
Canada,B,CONCACAF,True,2026-03-31,1853.0732962703169,1.7,0.7,1.1,0.4,1.9453843437265426,0.7704003043447892,-0.06443843644595089,10.0
Bosnia and Herzegovina,B,UEFA,False,2026-03-31,1624.3994114534332,1.6,1.0,2.1,1.1,1.4510672239679403,0.5089936051499798,0.05787922914451765,10.0
Qatar,B,AFC,False,2025-12-07,1588.2434942263014,0.7,-1.0,0.9,1.9,0.7539904524085858,-1.1530005822225229,-0.329438057873758,10.0
Switzerland,B,UEFA,False,2026-03-31,1892.227126166479,2.1,1.7,2.5,0.8,2.4646126934001757,1.7359554182289796,0.09196945243816348,10.0
Brazil,C,CONMEBOL,False,2026-03-31,2007.9872042654708,1.7,1.0,1.8,0.8,2.103438317209157,0.9802676700241998,-0.09847360073640236,10.0
Morocco,C,CAF,False,2026-03-31,1948.135971678246,2.4,1.3,1.8,0.5,2.6915255960302846,1.444846922956516,0.022315877900684667,10.0
Haiti,C,CONCACAF,False,2026-03-31,1664.332061878942,1.3,0.1,1.2,1.1,1.3932993384027617,0.045369592845027326,-0.01744790791355444,10.0
Scotland,C,UEFA,False,2026-03-31,1788.2526797657342,1.6,0.6,1.8,1.2,1.6763935642541425,0.4285663636786249,-0.07186766967438359,10.0
United States,D,CONCACAF,True,2026-03-31,1822.9464989245769,1.6,0.1,1.7,1.6,1.984781331811662,-0.012781437569751341,0.049043354143786404,10.0
Paraguay,D,CONMEBOL,False,2026-03-31,1859.8714151260333,1.4,0.0,1.0,1.0,1.7344120110483174,-0.012392186779760995,0.048224941093139906,10.0
Australia,D,AFC,False,2026-03-31,1875.5390287326309,2.1,0.6,1.5,0.9,2.4665161091665717,0.5148354247398321,0.10066921006961901,10.0
Turkey,D,UEFA,False,2026-03-31,1895.338467891879,2.2,0.7,2.1,1.4,2.460420265162862,0.771191189572243,0.15423971665463884,10.0
Germany,E,UEFA,False,2026-03-30,1962.6470622723837,2.1,1.2,2.3,1.1,2.2782894714412474,0.7590943311109695,-0.06417111480998061,10.0
Curaçao,E,CONCACAF,False,2026-03-31,1591.4335824551702,1.3,0.3,1.6,1.3,1.323880533813203,-0.10590876633981283,-0.02795895052954143,10.0
Ivory Coast,E,CAF,False,2026-03-31,1760.9285335776146,2.2,1.3,2.0,0.7,2.413052518673021,1.3176037948221093,0.16648700834339336,10.0
Ecuador,E,CONMEBOL,False,2026-03-31,1956.5087379421955,1.4,0.3,0.7,0.4,1.76151481304302,0.3671363937021506,-0.058991876250626255,10.0
Netherlands,F,UEFA,False,2026-03-31,1979.529861092347,2.4,2.4,3.0,0.6,2.4414971012828186,1.5394635155723742,-0.05811051576984807,10.0
Japan,F,AFC,False,2026-03-31,1962.5597147439698,2.0,1.1,1.8,0.7,2.3915861628088346,0.8909917291669446,0.020870918154872485,10.0
Sweden,F,UEFA,False,2026-03-31,1746.3008145370356,1.4,-0.2,1.6,1.8,1.667806344310159,-0.23850482013965552,-0.006370365072456275,10.0
Tunisia,F,CAF,False,2026-03-31,1746.3247624568075,1.4,0.4,1.4,1.0,1.536055503538337,0.4191725852419753,-0.1177235263888226,10.0
Belgium,G,UEFA,False,2026-03-31,1909.5645100769775,2.2,2.5,3.5,1.0,2.2175936017834568,1.4210250296834428,-0.045932386259924365,10.0
Egypt,G,CAF,False,2026-03-31,1765.4342919168682,1.8,0.5,1.3,0.8,1.9741613592316418,0.4011544470474733,0.07348392654027773,10.0
Iran,G,AFC,False,2026-03-31,1861.6534520681007,1.5,0.9,1.6,0.7,1.6181404665925534,0.7150949840977474,-0.237252668023332,10.0
New Zealand,G,OFC,False,2026-03-30,1729.1151845899576,0.7,-0.6,0.9,1.5,0.8201024224873059,-0.7443292373635246,-0.17923922349620053,10.0
Spain,H,UEFA,False,2026-03-31,2132.1698215763063,2.4,2.3,3.1,0.8,2.7868970524127343,2.026758709747349,-0.05375090561447986,10.0
Cape Verde,H,CAF,False,2026-03-30,1626.904553575822,1.7,0.7,1.7,1.0,1.7062303233553446,0.598044356716222,0.06676432384728404,10.0
Saudi Arabia,H,AFC,False,2026-03-31,1678.6690157263986,1.3,-0.4,0.9,1.3,1.3860285809366482,-0.4290383026682786,-0.08448047708358078,10.0
Uruguay,H,CONMEBOL,False,2026-03-31,1924.3662291149278,1.6,0.1,1.0,0.9,1.869183270677987,0.2052167951148968,-0.10305965447473822,10.0
France,I,UEFA,False,2026-03-29,2083.893494789044,2.5,1.6,2.7,1.1,2.9151959896162554,1.7141013528317746,0.07592910430312726,10.0
Senegal,I,CAF,False,2026-03-31,1880.514808217102,2.5,1.9,2.5,0.6,2.6386042929969884,1.3637333913881657,0.06581698304576641,10.0
Iraq,I,AFC,False,2026-03-31,1728.9785276233174,2.0,0.4,1.1,0.7,2.1186784765521565,0.3731485394308464,0.0872774160879148,10.0
Norway,I,UEFA,False,2026-03-31,1896.9949369141732,2.3,2.5,3.1,0.6,2.5000001250909727,1.7231364263821398,0.07764968063141127,10.0
Argentina,J,CONMEBOL,False,2026-03-31,2112.1366561367504,2.5,2.1,2.5,0.4,2.7755434338821336,1.752462037529439,-0.0398439171558143,10.0
Algeria,J,CAF,False,2026-03-31,1838.3443154699378,2.3,1.8,2.3,0.5,2.483159488638296,1.348291021125902,0.055229786809017,10.0
Austria,J,UEFA,False,2026-03-31,1844.783256483239,2.5,2.3,2.8,0.5,2.394740840776876,1.218862685216765,0.0031949745477883205,10.0
Jordan,J,AFC,False,2026-03-31,1745.398095249714,1.7,0.5,2.0,1.5,1.900802754284926,0.5291707092483888,0.07785395309407672,10.0
Portugal,K,UEFA,False,2026-03-31,1993.557142607939,2.1,1.6,2.6,1.0,2.400699883119475,0.9632076113407017,-0.031337708092413964,10.0
DR Congo,K,CAF,False,2026-03-31,1720.605674842893,2.3,0.9,1.2,0.3,2.359039476314566,0.8627487891409226,0.1673161694555319,10.0
Uzbekistan,K,AFC,False,2026-03-30,1805.7812342284467,1.7,0.8,1.5,0.7,1.8686294474020877,0.8381962710869683,-0.04231652418779648,10.0
Colombia,K,CONMEBOL,False,2026-03-29,1989.7723888015605,1.8,1.1,2.1,1.0,2.1750558565310505,1.1663618048153104,-0.036118352901911524,10.0
England,L,UEFA,False,2026-03-31,2022.2467092573463,2.2,1.7,2.2,0.5,2.2714619207813675,1.3092302771893345,-0.10233389233563077,10.0
Croatia,L,UEFA,False,2026-03-31,1945.1815520831258,2.5,2.1,2.9,0.8,2.492340687135312,1.3699402234870104,0.03316383257937609,10.0
Ghana,L,CAF,False,2026-03-30,1614.8729851109433,1.3,0.2,1.5,1.3,1.3102748335999501,-0.19052910952851076,0.011345616803643993,10.0
Panama,L,CONCACAF,False,2026-03-31,1808.1111741640318,1.7,0.5,1.3,0.8,1.797236447574639,0.4913376946809442,-0.14011356357716848,10.0
